metric,value,units
frame_tracking_history_rows,9,count
binary_snapshots,5,count
maximum_miss_streak,0,count
slew_limited_rows,0,count
final_history_time,1.5377632373322493e-04,code_time
final_frame_velocity,-4.9525687844591436e-03,code_velocity
final_frame_displacement,-3.5452918387436753e-07,code_length
final_tracker_position_error,-8.6223279217594317e-02,code_length
binary_cold_cloud_centroid_drift,2.5015258664495832e-07,code_length
final_cold_cloud_centroid,3.0042559859374993e+00,code_length
dense_mass_fractional_change,-4.6583048640691516e-08,dimensionless
final_dense_mass,6.5100775960524953e+00,Msun
