problem,resolution,tracking_mode,restart_split,ranks,amr_mode,diagnostic_metric,comparison_reference,absolute_error,relative_error,tolerance,result
cloud_crushing,48x16x16,enabled_vs_disabled,none,1,uniform,selected_mass,serial_tracking_disabled,7.8206141889095306e+00,2.0913827999218506e-02,relative <= 1.0e-2,fail
cloud_crushing,48x16x16,enabled_vs_disabled,none,1,uniform,tracked_centroid,serial_tracking_disabled,7.2295224151854853e-03,2.5459059062375262e-03,absolute <= 2.5000000000000000e-01,pass
cloud_crushing,48x16x16,enabled_vs_disabled,none,1,uniform,density_l2_lab_frame,serial_tracking_disabled,8.2552775867493011e+00,1.2330158028153562e-02,trend against wiring baseline,measured
cloud_crushing,48x16x16,enabled_vs_disabled,none,1,uniform,finite_fields,serial_tracking_disabled,0.0000000000000000e+00,0.0000000000000000e+00,all finite,pass
cloud_crushing,48x16x16,enabled_vs_disabled,none,1,uniform,max_missed_samples,serial_tracking_disabled,0.0000000000000000e+00,0.0000000000000000e+00,absolute <= 0,pass
cloud_crushing,48x16x16,enabled_vs_disabled,none,1,uniform,limit_events,serial_tracking_disabled,0.0000000000000000e+00,0.0000000000000000e+00,absolute <= 0,pass
cloud_crushing,96x32x32,enabled_vs_disabled,none,1,uniform,selected_mass,serial_tracking_disabled,5.4233429431915283e+00,1.4177763252115573e-02,relative <= 1.0e-2,fail
cloud_crushing,96x32x32,enabled_vs_disabled,none,1,uniform,tracked_centroid,serial_tracking_disabled,5.6278543259544733e-03,1.9711716806679771e-03,absolute <= 1.2500000000000000e-01,pass
cloud_crushing,96x32x32,enabled_vs_disabled,none,1,uniform,density_l2_lab_frame,serial_tracking_disabled,1.4449508614586031e+02,7.3425729347643631e-02,trend against wiring baseline,measured
cloud_crushing,96x32x32,enabled_vs_disabled,none,1,uniform,finite_fields,serial_tracking_disabled,0.0000000000000000e+00,0.0000000000000000e+00,all finite,pass
cloud_crushing,96x32x32,enabled_vs_disabled,none,1,uniform,max_missed_samples,serial_tracking_disabled,0.0000000000000000e+00,0.0000000000000000e+00,absolute <= 0,pass
cloud_crushing,96x32x32,enabled_vs_disabled,none,1,uniform,limit_events,serial_tracking_disabled,0.0000000000000000e+00,0.0000000000000000e+00,absolute <= 0,pass
TRML,16x16x32,enabled_vs_disabled_temperature,none,1,uniform,selected_mass,serial_tracking_disabled,1.3419687282294035e-01,4.0290103868160253e-02,relative <= 1.0e-2,fail
TRML,16x16x32,enabled_vs_disabled_temperature,none,1,uniform,tracked_centroid,serial_tracking_disabled,2.0801957954476105e-03,4.5082242139863241e-02,absolute <= 6.2500000000000000e-02,pass
TRML,16x16x32,enabled_vs_disabled_temperature,none,1,uniform,density_l2_lab_frame,serial_tracking_disabled,7.6600123959343502e+00,1.2542900338174004e-03,trend against wiring baseline,measured
TRML,16x16x32,enabled_vs_disabled_temperature,none,1,uniform,finite_fields,serial_tracking_disabled,0.0000000000000000e+00,0.0000000000000000e+00,all finite,pass
TRML,16x16x32,enabled_vs_disabled_temperature,none,1,uniform,max_missed_samples,serial_tracking_disabled,0.0000000000000000e+00,0.0000000000000000e+00,absolute <= 0,pass
