time_s,sedov_xi,sample_radius_cm,frame_x1_cm,frame_x2_cm,frame_x3_cm,frame_v1_cm_s,frame_v2_cm_s,frame_v3_cm_s,shock_radius_cm,shock_speed_cm_s,rho_g_cm3,pressure_dyn_cm2,vx_cm_s,vy_cm_s,vz_cm_s,mass_flux_g_cm2_s,momentum_flux_dyn_cm2,sample_is_shocked,inner_x1_shocked_fraction
0.0,0.9667338709677396,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,9.56560050098323e+19,21073016.1925006,2.2856416222486654e-24,2.178445663157054e-10,14785887.266793508,0.0,0.0,3.37952393588598e-17,7.175371656301094e-10,1.0,1.0
617565557729.9413,0.8599019121485141,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.0754005625294324e+20,17678266.246076055,8.42835554364071e-25,9.12187754471388e-11,10082594.177041085,0.0,0.0,8.497968852634377e-18,1.7690034671738667e-10,1.0,1.0
1235131115459.8826,0.7855205265316059,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.1772308536961437e+20,15434856.833730422,4.722335474542163e-25,5.730076302169136e-11,7707117.346503743,0.0,0.0,3.6395593651853885e-18,8.535127413874182e-11,1.0,1.0
1852696673189.8237,0.7296831980547712,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.2673157371717832e+20,13818720.015296003,3.1323274869646995e-25,4.202388489715729e-11,6273495.28627591,0.0,0.0,1.965064172454551e-18,5.4351705720280586e-11,1.0,1.0
2470262230919.765,0.685654874134479,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.3486945618405615e+20,12587070.068681581,2.2707229432028797e-25,3.3264439240720674e-11,5306010.783084069,0.0,0.0,1.2048480422030874e-18,3.9657375944627986e-11,1.0,1.0
3087827788649.706,0.649712882134887,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.423304086269697e+20,11610435.630462108,1.739321224316092e-25,2.7535387420235968e-11,4604790.204392995,0.0,0.0,8.009209336023571e-19,3.122346028978139e-11,1.0,1.0
3705393346379.6475,0.6196050117475643,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.4924653327713852e+20,10812812.726616058,1.3836419749539725e-25,2.3473461704628362e-11,4071163.5614162316,0.0,0.0,5.633032790478603e-19,2.576676148831429e-11,1.0,1.0
4322958904109.589,0.5938757282086643,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.557125432342522e+20,10146345.864334915,1.1317300595616924e-25,2.0433823635301242e-11,3650461.7955599297,0.0,0.0,4.1313373453167215e-19,2.1941952549666108e-11,1.0,1.0
4940524461839.53,0.5715357020050821,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.617989911742073e+20,9579246.416420082,9.457287482214063e-26,1.806979424747233e-11,3309755.4577540657,0.0,0.0,3.13013088598072e-19,1.9105791025808257e-11,1.0,1.0
5558090019569.472,0.5518851379979002,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.675600476213884e+20,9089486.45210605,8.039168812738143e-26,1.617723149409134e-11,3027930.619824688,0.0,0.0,2.434204540602951e-19,1.6914291740432135e-11,1.0,1.0
