
Root grid = 1 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 1
Number of logical  levels of refinement = 0 (1 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=6.356250e-04 cycle=0 time=0.000000e+00 dt=1.932336e-03
elapsed=1.160125e-03 cycle=1 time=1.932336e-03 dt=1.932590e-03
elapsed=1.641625e-03 cycle=2 time=3.864926e-03 dt=1.932845e-03
elapsed=2.288083e-03 cycle=3 time=5.797772e-03 dt=1.933102e-03
elapsed=2.765666e-03 cycle=4 time=7.730873e-03 dt=1.933360e-03
elapsed=3.227791e-03 cycle=5 time=9.664233e-03 dt=1.933619e-03
elapsed=3.687208e-03 cycle=6 time=1.159785e-02 dt=1.933879e-03
elapsed=4.151125e-03 cycle=7 time=1.353173e-02 dt=1.934141e-03
elapsed=4.612958e-03 cycle=8 time=1.546587e-02 dt=1.934404e-03
elapsed=5.073041e-03 cycle=9 time=1.740028e-02 dt=1.934668e-03
elapsed=5.535291e-03 cycle=10 time=1.933494e-02 dt=1.934933e-03
elapsed=6.002958e-03 cycle=11 time=2.126988e-02 dt=1.935199e-03
elapsed=6.473708e-03 cycle=12 time=2.320508e-02 dt=1.935467e-03
elapsed=6.942708e-03 cycle=13 time=2.514054e-02 dt=1.935736e-03
elapsed=7.403083e-03 cycle=14 time=2.707628e-02 dt=1.936005e-03
elapsed=7.864041e-03 cycle=15 time=2.901228e-02 dt=1.936276e-03
elapsed=8.322625e-03 cycle=16 time=3.094856e-02 dt=1.936547e-03
elapsed=8.784583e-03 cycle=17 time=3.288511e-02 dt=1.936820e-03
elapsed=9.245583e-03 cycle=18 time=3.482193e-02 dt=1.937093e-03
elapsed=9.711333e-03 cycle=19 time=3.675902e-02 dt=1.937368e-03
elapsed=1.016946e-02 cycle=20 time=3.869639e-02 dt=1.937643e-03
elapsed=1.063333e-02 cycle=21 time=4.063403e-02 dt=1.937920e-03
elapsed=1.109108e-02 cycle=22 time=4.257195e-02 dt=1.938197e-03
elapsed=1.155521e-02 cycle=23 time=4.451015e-02 dt=1.938475e-03
elapsed=1.201512e-02 cycle=24 time=4.644862e-02 dt=1.938755e-03
elapsed=1.248871e-02 cycle=25 time=4.838738e-02 dt=1.939035e-03
elapsed=1.295662e-02 cycle=26 time=5.032641e-02 dt=1.939315e-03
