
Root grid = 1 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 1
Number of logical  levels of refinement = 0 (1 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=6.102500e-04 cycle=0 time=0.000000e+00 dt=1.932336e-03
elapsed=1.137500e-03 cycle=1 time=1.932336e-03 dt=1.932590e-03
elapsed=1.614292e-03 cycle=2 time=3.864926e-03 dt=1.932845e-03
elapsed=2.081209e-03 cycle=3 time=5.797772e-03 dt=1.933102e-03
elapsed=2.551875e-03 cycle=4 time=7.730873e-03 dt=1.933360e-03
elapsed=3.059584e-03 cycle=5 time=9.664233e-03 dt=1.933619e-03
elapsed=3.552500e-03 cycle=6 time=1.159785e-02 dt=1.933879e-03
elapsed=4.028000e-03 cycle=7 time=1.353173e-02 dt=1.934141e-03
elapsed=4.500167e-03 cycle=8 time=1.546587e-02 dt=1.934404e-03
elapsed=4.974459e-03 cycle=9 time=1.740028e-02 dt=1.934668e-03
elapsed=5.444459e-03 cycle=10 time=1.933494e-02 dt=1.934933e-03
elapsed=5.910334e-03 cycle=11 time=2.126988e-02 dt=1.935199e-03
elapsed=6.376834e-03 cycle=12 time=2.320508e-02 dt=1.935467e-03
elapsed=6.838792e-03 cycle=13 time=2.514054e-02 dt=1.935736e-03
elapsed=7.308292e-03 cycle=14 time=2.707628e-02 dt=1.936005e-03
elapsed=8.054209e-03 cycle=15 time=2.901228e-02 dt=1.936276e-03
elapsed=8.530709e-03 cycle=16 time=3.094856e-02 dt=1.936547e-03
elapsed=8.999125e-03 cycle=17 time=3.288511e-02 dt=1.936820e-03
elapsed=9.463542e-03 cycle=18 time=3.482193e-02 dt=1.937093e-03
elapsed=9.931667e-03 cycle=19 time=3.675902e-02 dt=1.937368e-03
elapsed=1.039671e-02 cycle=20 time=3.869639e-02 dt=1.937643e-03
elapsed=1.085979e-02 cycle=21 time=4.063403e-02 dt=1.937920e-03
elapsed=1.136942e-02 cycle=22 time=4.257195e-02 dt=1.938197e-03
elapsed=1.186183e-02 cycle=23 time=4.451015e-02 dt=1.938475e-03
elapsed=1.234262e-02 cycle=24 time=4.644862e-02 dt=1.938755e-03
elapsed=1.282771e-02 cycle=25 time=4.838738e-02 dt=1.939035e-03
elapsed=1.330333e-02 cycle=26 time=5.032641e-02 dt=1.939315e-03
elapsed=1.377458e-02 cycle=27 time=5.226573e-02 dt=1.939597e-03
elapsed=1.423896e-02 cycle=28 time=5.420533e-02 dt=1.939879e-03
elapsed=1.470271e-02 cycle=29 time=5.614520e-02 dt=1.940163e-03
elapsed=1.516837e-02 cycle=30 time=5.808537e-02 dt=1.940447e-03
elapsed=1.563279e-02 cycle=31 time=6.002581e-02 dt=1.940731e-03
elapsed=1.609654e-02 cycle=32 time=6.196655e-02 dt=1.941015e-03
elapsed=1.655892e-02 cycle=33 time=6.390756e-02 dt=1.941301e-03
elapsed=1.702371e-02 cycle=34 time=6.584886e-02 dt=1.941587e-03
elapsed=1.748904e-02 cycle=35 time=6.779045e-02 dt=1.941873e-03
