simulation	phase	sequence	input_relative	expected_shards	expected_nodes	output_number	output_time	control_pdf_sequence
res_4pc	phase1a	00000	res_4pc/phase1a/bin	256	32	00000	0.0	00000
res_4pc	phase1b	00001	res_4pc/phase1b/bin	512	64	00005	5.000014365838266	00005
res_4pc	phase1c	00002	res_4pc/phase1c/bin	1024	128	00010	10.000014816129346	00010
res_4pc	phase2a	00003	res_4pc/phase2a/bin	2048	256	00012	10.020026243958727	00012
res_4pc	phase2a	00004	res_4pc/phase2a/bin	2048	256	00014	10.040000944539418	00014
res_4pc	phase2a	00005	res_4pc/phase2a/bin	2048	256	00016	10.060002406110002	00016
res_4pc	phase2a	00006	res_4pc/phase2a/bin	2048	256	00018	10.08000002281748	00018
res_4pc	phase2a	00007	res_4pc/phase2a/bin	2048	256	00020	10.100000933535975	00020
res_4pc	phase2a	00008	res_4pc/phase2a/bin	2048	256	00022	10.120000089316438	00022
res_4pc	phase2a	00009	res_4pc/phase2a/bin	2048	256	00024	10.140000159310784	00024
res_4pc	phase2a	00010	res_4pc/phase2a/bin	2048	256	00026	10.159999482330374	00026
res_4pc	phase2a	00011	res_4pc/phase2a/bin	2048	256	00028	10.180000731632637	00028
res_4pc	phase2a	00012	res_4pc/phase2a/bin	2048	256	00030	10.200000678762088	00030
res_4pc	phase2a	00013	res_4pc/phase2a/bin	2048	256	00032	10.220001670023183	00032
res_4pc	phase2a	00014	res_4pc/phase2a/bin	2048	256	00034	10.23999975483694	00034
res_4pc	phase2a	00015	res_4pc/phase2a/bin	2048	256	00036	10.260000162358795	00036
res_4pc	phase2a	00016	res_4pc/phase2a/bin	2048	256	00038	10.280001333689354	00038
res_4pc	phase2a	00017	res_4pc/phase2a/bin	2048	256	00040	10.300001430445349	00040
res_4pc	phase2a	00018	res_4pc/phase2a/bin	2048	256	00042	10.320000264659338	00042
res_4pc	phase2a	00019	res_4pc/phase2a/bin	2048	256	00044	10.340001580845126	00044
res_4pc	phase2a	00020	res_4pc/phase2a/bin	2048	256	00046	10.359999799962397	00046
res_4pc	phase2a	00021	res_4pc/phase2a/bin	2048	256	00048	10.379999902476536	00048
res_4pc	phase2a	00022	res_4pc/phase2a/bin	2048	256	00050	10.399999584074878	00050
res_4pc	phase2b	00023	res_4pc/phase2b/bin	2048	256	00052	10.420000085138524	00052
res_4pc	phase2b	00024	res_4pc/phase2b/bin	2048	256	00054	10.440000612674265	00054
res_4pc	phase2b	00025	res_4pc/phase2b/bin	2048	256	00056	10.46000146142734	00056
res_4pc	phase2b	00026	res_4pc/phase2b/bin	2048	256	00058	10.480000079048025	00058
res_4pc	phase2b	00027	res_4pc/phase2b/bin	2048	256	00060	10.499999946765314	00060
res_4pc	phase2_uniform	00004	res_4pc/phase2_uniform/bin	2048	256	00004	10.3027	none
