simulation	phase	sequence	input_relative	expected_shards	expected_nodes	output_number	output_time	control_pdf_sequence
res_8pc_highmdot	phase1	00000	source_views/res_8pc_highmdot_phase1_00000_valid200/res_8pc_highmdot/phase1/bin	200	25	00000	0.0	00000
res_8pc_highmdot	phase1	00001	res_8pc_highmdot/phase1/bin	200	25	00005	5.000026870868631	00005
res_8pc_highmdot	phase1	00002	res_8pc_highmdot/phase1/bin	200	25	00010	10.00006432056867	00010
res_8pc_highmdot	phase2	00003	res_8pc_highmdot/phase2/bin	1024	128	00012	10.020054376305223	00012
res_8pc_highmdot	phase2	00004	res_8pc_highmdot/phase2/bin	1024	128	00014	10.040010118995884	00014
res_8pc_highmdot	phase2	00005	res_8pc_highmdot/phase2/bin	1024	128	00016	10.060000484238287	00016
res_8pc_highmdot	phase2	00006	res_8pc_highmdot/phase2/bin	1024	128	00018	10.08000016769763	00018
res_8pc_highmdot	phase2	00007	res_8pc_highmdot/phase2/bin	1024	128	00020	10.100001181097332	00020
res_8pc_highmdot	phase2	00008	res_8pc_highmdot/phase2/bin	1024	128	00022	10.120005225723187	00022
res_8pc_highmdot	phase2	00009	res_8pc_highmdot/phase2/bin	1024	128	00024	10.140001278793976	00024
res_8pc_highmdot	phase2	00010	res_8pc_highmdot/phase2/bin	1024	128	00026	10.160002214058574	00026
res_8pc_highmdot	phase2	00011	res_8pc_highmdot/phase2/bin	1024	128	00028	10.180000486950906	00028
res_8pc_highmdot	phase2	00012	res_8pc_highmdot/phase2/bin	1024	128	00030	10.200001890620094	00030
res_8pc_highmdot	phase2	00013	res_8pc_highmdot/phase2/bin	1024	128	00032	10.22000317307824	00032
res_8pc_highmdot	phase2	00014	res_8pc_highmdot/phase2/bin	1024	128	00034	10.240001647305593	00034
res_8pc_highmdot	phase2	00015	res_8pc_highmdot/phase2/bin	1024	128	00036	10.260005386747634	00036
res_8pc_highmdot	phase2	00016	res_8pc_highmdot/phase2/bin	1024	128	00038	10.280003596847699	00038
res_8pc_highmdot	phase2	00017	res_8pc_highmdot/phase2/bin	1024	128	00040	10.300005342658109	00040
res_8pc_highmdot	phase2	00018	res_8pc_highmdot/phase2/bin	1024	128	00042	10.320000993335197	00042
res_8pc_highmdot	phase2	00019	res_8pc_highmdot/phase2/bin	1024	128	00044	10.340000079720681	00044
res_8pc_highmdot	phase2	00020	res_8pc_highmdot/phase2/bin	1024	128	00046	10.360003801508277	00046
res_8pc_highmdot	phase2	00021	res_8pc_highmdot/phase2/bin	1024	128	00048	10.380000492670492	00048
res_8pc_highmdot	phase2	00022	res_8pc_highmdot/phase2/bin	1024	128	00050	10.400003014602605	00050
res_8pc_highmdot	phase2	00023	res_8pc_highmdot/phase2/bin	1024	128	00052	10.420004665694616	00052
res_8pc_highmdot	phase2	00024	res_8pc_highmdot/phase2/bin	1024	128	00054	10.440004582390866	00054
res_8pc_highmdot	phase2	00025	res_8pc_highmdot/phase2/bin	1024	128	00056	10.460003037420327	00056
res_8pc_highmdot	phase2	00026	res_8pc_highmdot/phase2/bin	1024	128	00058	10.479999855672327	00058
res_8pc_highmdot	phase2	00027	res_8pc_highmdot/phase2/bin	1024	128	00060	10.50000170624244	00060
res_8pc_highmdot	phase2	00028	res_8pc_highmdot/phase2/bin	1024	128	00062	10.52000216231321	00062
res_8pc_highmdot	phase2	00029	res_8pc_highmdot/phase2/bin	1024	128	00064	10.540001845327668	00064
