simulation	phase	sequence	input_relative	expected_shards	expected_nodes	output_number	output_time	control_pdf_sequence
res_8pc_lowmdot	phase1	00000	res_8pc_lowmdot/phase1/bin	200	25	00000	0.0	00000
res_8pc_lowmdot	phase1	00001	res_8pc_lowmdot/phase1/bin	200	25	00005	5.000065407509076	00005
res_8pc_lowmdot	phase1	00002	res_8pc_lowmdot/phase1/bin	200	25	00010	10.000089794162424	00010
res_8pc_lowmdot	phase2	00003	res_8pc_lowmdot/phase2/bin	1024	128	00012	10.020020379093253	00012
res_8pc_lowmdot	phase2	00004	res_8pc_lowmdot/phase2/bin	1024	128	00014	10.04000237011624	00014
res_8pc_lowmdot	phase2	00005	res_8pc_lowmdot/phase2/bin	1024	128	00016	10.060002690738317	00016
res_8pc_lowmdot	phase2	00006	res_8pc_lowmdot/phase2/bin	1024	128	00018	10.080002055128434	00018
res_8pc_lowmdot	phase2	00007	res_8pc_lowmdot/phase2/bin	1024	128	00020	10.100001086434856	00020
res_8pc_lowmdot	phase2	00008	res_8pc_lowmdot/phase2/bin	1024	128	00022	10.12000015811218	00022
res_8pc_lowmdot	phase2	00009	res_8pc_lowmdot/phase2/bin	1024	128	00024	10.140001076469694	00024
res_8pc_lowmdot	phase2	00010	res_8pc_lowmdot/phase2/bin	1024	128	00026	10.160001436381028	00026
res_8pc_lowmdot	phase2	00011	res_8pc_lowmdot/phase2/bin	1024	128	00028	10.180002097007522	00028
res_8pc_lowmdot	phase2	00012	res_8pc_lowmdot/phase2/bin	1024	128	00030	10.19999958592168	00030
res_8pc_lowmdot	phase2	00013	res_8pc_lowmdot/phase2/bin	1024	128	00032	10.220003539007756	00032
res_8pc_lowmdot	phase2	00014	res_8pc_lowmdot/phase2/bin	1024	128	00034	10.240003635914029	00034
res_8pc_lowmdot	phase2	00015	res_8pc_lowmdot/phase2/bin	1024	128	00036	10.260005184656636	00036
res_8pc_lowmdot	phase2	00016	res_8pc_lowmdot/phase2/bin	1024	128	00038	10.280000127397926	00038
res_8pc_lowmdot	phase2	00017	res_8pc_lowmdot/phase2/bin	1024	128	00040	10.300003373328712	00040
res_8pc_lowmdot	phase2	00018	res_8pc_lowmdot/phase2/bin	1024	128	00042	10.32000229133491	00042
res_8pc_lowmdot	phase2	00019	res_8pc_lowmdot/phase2/bin	1024	128	00044	10.340002027289753	00044
res_8pc_lowmdot	phase2	00020	res_8pc_lowmdot/phase2/bin	1024	128	00046	10.360003767667546	00046
res_8pc_lowmdot	phase2	00021	res_8pc_lowmdot/phase2/bin	1024	128	00048	10.380004471737726	00048
res_8pc_lowmdot	phase2	00022	res_8pc_lowmdot/phase2/bin	1024	128	00050	10.400001197926425	00050
res_8pc_lowmdot	phase2b	00023	res_8pc_lowmdot/phase2b/bin	1024	128	00052	10.420003368668054	00052
res_8pc_lowmdot	phase2b	00024	res_8pc_lowmdot/phase2b/bin	1024	128	00054	10.440002580832239	00054
